dataset_name
AP_Breast_Omentum
AP_Breast_Prostate
AP_Endometrium_Lung
AP_Endometrium_Prostate
AP_Endometrium_Uterus
AP_Lung_Uterus
AP_Prostate_Lung
MagicTelescope
aaaData_for_UCI_named
analcatdata_authorship
analcatdata_broadwaymult
analcatdata_cyyoung9302
analcatdata_dmft
analcatdata_homerun
analcatdata_marketing
analcatdata_reviewer
arrhythmia
arsenic-male-bladder
audiology
autoHorse
autoMpg
autos
avila
biomed
braziltourism
bridges
cars
churn
colleges_aaup
connect-4
lung-cancer
molecular-biology_promoters
primary-tumor
balance-scale
mfeat-factors
mfeat-fourier
mfeat-karhunen
adult
yeast
satimage
abalone
kropt
baseball
braziltourism
eucalyptus
mfeat-pixel
mfeat-zernike
cmc
mushroom
colic.ORIG
optdigits
redit-a
credit-g
pendigits
dermatology
segment
diabetes
sick
ecoli
kr-vs-kp
sonar
glass
soybean
spambase
splice
tae
labor
tic-tac-toe
heart-h
heart-statlog
vehicle
hepatitis
vote
hypothyroid
ionosphere
arrhythmia
waveform-5000
iris
letter
audiology
autos
electricity
eye_movements
sylvine
fri_c2_1000_10
fri_c2_1000_5
fri_c3_500_10
gina_agnostic
heart-c
hiva_agnostic
irish
jm1
jungle_chess_2pcs_endgame_panther_lion
jungle_chess_2pcs_raw_endgame_complete
kc1
kc2
JapaneseVowels
kin8nm
leukemia
lymphoma_2classes
mfeat-morphological
mfeat-pixel
mozilla4
breast-w
zoo
page-blocks
pbc
pc1
pc3
pc4
one-hundred-plants-shape
blood-transfusion-service-center
sylva_agnostic
walking-activity
hill-valley
monks-problems-2
parkinsons
banknote-authentication
white-clover
collins
steel-plates-fault
autoUniv-au1-1000
phoneme
cardiotocography
cardiotocography
steel-plates-fault
wdbc
cylinder-bands
texture
SPECTF
one-hundred-plants-margin
dbworld-bodies-stemmed
anneal
tamilnadu-electricity
qsar-biodeg
squash-stored
thyroid-allrep
ilpd
artificial-characters
first-order-theorem-proving
hayes-roth
pasture
user-knowledge
planning-relax
micro-mass
LED-display-domain-7digit
wine-quality-white
heart-h
PhishingWebsites
dbworld-subjects-stemmed
wall-robot-navigation
ringnorm
climate-model-simulation-crashes
SPECT
GesturePhaseSegmentationProcessed
rsctc2010_1
Satellite
KungChi3
wilt
ada_agnostic
vowel
ozone-level-8hr
dbworld-bodies
Australian
wholesale-customers
madelon
leaf
nursery
oil_spill
sa-heart
skin-segmentation
bridges
bank-marketing
eeg-eye-state
bridges
Amazon_employee_access
cnae-9
mammography
grub-damage
one-hundred-plants-texture
hill-valley
PizzaCutter1
semeion
squash-unstored
scene
rsctc2010_3
seismic-bumps
twonorm
heart-long-beach
segment
dbworld-subjects
profb
schizo
shuttle
sf1
speeddating
synthetic_control
tumors_C
vowel
wine-quality-red
