param,importance,dataset,imputation,time_taken
bootstrap,0.01008769290842163,AP_Breast_Prostate.csv,False,198.01587327301968
criterion,0.009222595669493674,AP_Breast_Prostate.csv,False,198.01587327301968
max_features,0.059521737854768525,AP_Breast_Prostate.csv,False,198.01587327301968
min_samples_leaf,0.1380037667774926,AP_Breast_Prostate.csv,False,198.01587327301968
min_samples_split,0.025307709715485068,AP_Breast_Prostate.csv,False,198.01587327301968
"('max_features', 'min_samples_leaf')",0.11376573346247372,AP_Breast_Prostate.csv,False,198.01587327301968
"('min_samples_leaf', 'min_samples_split')",0.06851626227658383,AP_Breast_Prostate.csv,False,198.01587327301968
"('max_features', 'min_samples_split')",0.05683007726628815,AP_Breast_Prostate.csv,False,198.01587327301968
"('bootstrap', 'max_features')",0.030908397495666356,AP_Breast_Prostate.csv,False,198.01587327301968
"('criterion', 'min_samples_leaf')",0.02508209677110896,AP_Breast_Prostate.csv,False,198.01587327301968
"('criterion', 'max_features')",0.023609818432754157,AP_Breast_Prostate.csv,False,198.01587327301968
"('bootstrap', 'min_samples_leaf')",0.015413835840903386,AP_Breast_Prostate.csv,False,198.01587327301968
"('criterion', 'min_samples_split')",0.010326410072787806,AP_Breast_Prostate.csv,False,198.01587327301968
"('bootstrap', 'min_samples_split')",0.009650687916494573,AP_Breast_Prostate.csv,False,198.01587327301968
"('bootstrap', 'criterion')",0.001299388480883901,AP_Breast_Prostate.csv,False,198.01587327301968
"('bootstrap', 'max_features', 'min_samples_leaf')",0.03608243270686834,AP_Breast_Prostate.csv,False,198.01587327301968
"('bootstrap', 'max_features', 'min_samples_split')",0.02343302161480336,AP_Breast_Prostate.csv,False,198.01587327301968
bootstrap,0.14741317954836242,AP_Breast_Omentum.csv,False,323.13637028902303
criterion,0.08053951000150991,AP_Breast_Omentum.csv,False,323.13637028902303
max_features,0.03880488429755652,AP_Breast_Omentum.csv,False,323.13637028902303
min_samples_leaf,0.2910233830017046,AP_Breast_Omentum.csv,False,323.13637028902303
min_samples_split,0.0061942598289392355,AP_Breast_Omentum.csv,False,323.13637028902303
"('max_features', 'min_samples_leaf')",0.04042096856022812,AP_Breast_Omentum.csv,False,323.13637028902303
"('bootstrap', 'criterion')",0.021946913772647063,AP_Breast_Omentum.csv,False,323.13637028902303
"('min_samples_leaf', 'min_samples_split')",0.01822321054021843,AP_Breast_Omentum.csv,False,323.13637028902303
"('bootstrap', 'min_samples_leaf')",0.017596619928541023,AP_Breast_Omentum.csv,False,323.13637028902303
"('criterion', 'max_features')",0.014775610617282142,AP_Breast_Omentum.csv,False,323.13637028902303
"('criterion', 'min_samples_leaf')",0.013548760573617261,AP_Breast_Omentum.csv,False,323.13637028902303
"('bootstrap', 'max_features')",0.012436334556377483,AP_Breast_Omentum.csv,False,323.13637028902303
"('max_features', 'min_samples_split')",0.010226754392865064,AP_Breast_Omentum.csv,False,323.13637028902303
"('criterion', 'min_samples_split')",0.00819055817972919,AP_Breast_Omentum.csv,False,323.13637028902303
"('bootstrap', 'min_samples_split')",0.007106943562507366,AP_Breast_Omentum.csv,False,323.13637028902303
"('bootstrap', 'max_features', 'min_samples_leaf')",0.038477189914161755,AP_Breast_Omentum.csv,False,323.13637028902303
"('bootstrap', 'max_features', 'min_samples_split')",0.00862427088582296,AP_Breast_Omentum.csv,False,323.13637028902303
bootstrap,0.053802784362688136,phpGUrE90.csv,False,255.86386053805472
criterion,0.0004301167780303611,phpGUrE90.csv,False,255.86386053805472
max_features,0.25812239037493157,phpGUrE90.csv,False,255.86386053805472
min_samples_leaf,0.40647089332903996,phpGUrE90.csv,False,255.86386053805472
min_samples_split,0.0024006748244711,phpGUrE90.csv,False,255.86386053805472
"('max_features', 'min_samples_leaf')",0.12744177105969612,phpGUrE90.csv,False,255.86386053805472
"('bootstrap', 'min_samples_leaf')",0.03003820615890749,phpGUrE90.csv,False,255.86386053805472
"('bootstrap', 'max_features')",0.011992582716732283,phpGUrE90.csv,False,255.86386053805472
"('min_samples_leaf', 'min_samples_split')",0.011781965343717346,phpGUrE90.csv,False,255.86386053805472
"('max_features', 'min_samples_split')",0.007895268350450506,phpGUrE90.csv,False,255.86386053805472
"('criterion', 'max_features')",0.0026023820730170866,phpGUrE90.csv,False,255.86386053805472
"('criterion', 'min_samples_leaf')",0.0020024226077861714,phpGUrE90.csv,False,255.86386053805472
"('bootstrap', 'min_samples_split')",0.0014705265235574877,phpGUrE90.csv,False,255.86386053805472
"('bootstrap', 'criterion')",0.00048022744169852477,phpGUrE90.csv,False,255.86386053805472
"('criterion', 'min_samples_split')",0.00047492082918123305,phpGUrE90.csv,False,255.86386053805472
"('bootstrap', 'max_features', 'min_samples_leaf')",0.027322886837023247,phpGUrE90.csv,False,255.86386053805472
"('bootstrap', 'max_features', 'min_samples_split')",0.0037547692293650146,phpGUrE90.csv,False,255.86386053805472
bootstrap,0.001665627764147035,dataset_187_abalone.csv,False,213.31300893297885
criterion,0.0008223337760875462,dataset_187_abalone.csv,False,213.31300893297885
max_features,0.3170390790465892,dataset_187_abalone.csv,False,213.31300893297885
min_samples_leaf,0.11926204057519682,dataset_187_abalone.csv,False,213.31300893297885
min_samples_split,0.015282263154758296,dataset_187_abalone.csv,False,213.31300893297885
"('max_features', 'min_samples_leaf')",0.2466958218986139,dataset_187_abalone.csv,False,213.31300893297885
"('min_samples_leaf', 'min_samples_split')",0.07054329843142142,dataset_187_abalone.csv,False,213.31300893297885
"('max_features', 'min_samples_split')",0.03448713370810061,dataset_187_abalone.csv,False,213.31300893297885
