max_features,min_samples_leaf,min_samples_split,criterion,"('max_features', 'min_samples_leaf')","('max_features', 'min_samples_split')",dataset
0.0200964523519992,0.18541118482313,0.0097022966759653,0.00232885973537855,0.0744437797013228,0.0226403107226796,analcatdata_homerun.csv
0.15654925157726002,0.0760035837075413,0.0293879770678259,0.0307199292581649,0.108495515145017,0.10082872401995199,phpGUrE90.csv
0.0258310003123321,0.63492234431219,0.0255070154515998,0.000649473854568017,0.0642848951034913,0.0231001273409807,dataset_187_abalone.csv
0.0764125781325835,0.269191781893597,0.0182616278021794,0.0309277655588358,0.0740162547572214,0.0223018147883243,dataset_189_baseball.csv
0.0486264046208621,0.42449563885658703,0.0255473934537229,0.00142262774972159,0.11146693788540302,0.0454890417378894,dataset_31_credit-g.csv
0.115275671192562,0.4758966452340221,0.0254517306377684,0.00462489570494895,0.15026324008709302,0.0222984026422945,phpNevWWL.csv
0.0672552307563075,0.13056829315599802,0.032187575620278,0.0410470723264004,0.11609211237464,0.0522256798352769,phpAmSP4g.csv
0.0922523678075118,0.38436604621925896,0.0115461159114582,0.00530174075163237,0.133448126559466,0.0392457631980801,kc1.csv
0.4732194889720929,0.23014325006916,0.00580939225674361,0.0378907396381776,0.0626807967617836,0.0193949176303333,analcatdata_authorship.csv
0.8792827000977959,0.0401357282476355,0.0023957809989562802,0.0007616713287696559,0.0226155704016761,0.00866314365905193,php5OMDBD.csv
0.36325712529771,0.0267080408582313,0.0289746499689955,0.0025483792670668603,0.126843647607271,0.11313109148431301,pc4.csv
0.214880082577507,0.17029345071251098,0.007278699623690741,0.000960204375969461,0.106074365976998,0.0322338489660959,phpAz9Len.csv
0.0994751326890883,0.44397402074114894,0.0125907073469877,0.00500724863859795,0.156152591252205,0.0382579055940383,php9HX2u8.csv
0.555609967942431,0.0279438499741358,0.011504862762152,0.0122255141794717,0.0777450743722013,0.0597638546921282,phpn1jVwe.csv
0.0653304976280449,0.45162076699414394,0.0177570113596152,0.00292515942809318,0.11656467150678301,0.0462802515294508,pc3.csv
0.9181028249719209,0.00628186003161931,0.00257273169403393,0.00038393872176262797,0.0163175494048441,0.0136418171237837,kin8nm.csv
0.330004556766549,0.0552945099259058,0.004603299698886821,0.0427163986905034,0.0747257191490036,0.0242546774390916,arrhythmia.csv
0.403459369836384,0.456951220058949,0.00572492317004494,0.000742255918012348,0.0369937252381626,0.00982648629822023,phpPQrHPH.csv
0.10013654668627599,0.690083750096972,0.00670204644325913,0.00813046182090758,0.0491000678373376,0.0164895187261797,dataset_20_mfeat-pixel.csv
0.789352219128341,0.0824552791627723,0.00195221246232595,0.000475451352750261,0.0340303342268927,0.0145424376812646,dataset_57_hypothyroid.csv
0.0895451056635954,0.202036867747353,0.0193116571255478,0.0119308159268478,0.16361371777884198,0.0701587122643784,php3isjYz.csv
0.71339231517268,0.0749989871866097,0.00293073075158964,0.0176751790321185,0.0718567695710906,0.0194448314885602,synthetic_control.csv
0.556454700504141,0.22062621451142603,0.0045328460701108105,0.00127647072037671,0.0914585281255642,0.0404764593074828,jungle_chess_2pcs_endgame_panther_lion.csv
0.7473889100922769,0.0587597484704206,0.00460889577357183,0.0153513052394724,0.0496249308110038,0.0213467897954321,php5s7Ep8.csv
0.8780778947965341,0.0199709122944851,0.0026437216008259,0.000797151742630245,0.0379258644675658,0.0182420691530546,php9xWOpn.csv
0.8284723721847321,0.0199333341083795,0.00435960538545712,0.00206626410773319,0.055467502994374994,0.0216175335226455,dataset_46_splice.csv
0.6801255959726711,0.0964917070319693,0.00685693408177816,0.000245813615985735,0.0769566615799207,0.0305678625324091,page-blocks.csv
