bootstrap,criterion,max_features,min_samples_leaf,min_samples_split,"('max_features', 'min_samples_leaf')","('min_samples_leaf', 'min_samples_split')",dataset
0.01008769290842163,0.009222595669493674,0.059521737854768525,0.1380037667774926,0.025307709715485068,0.11376573346247372,0.06851626227658382,AP_Breast_Prostate.csv
0.14741317954836242,0.08053951000150991,0.03880488429755652,0.2910233830017046,0.0061942598289392355,0.040420968560228115,0.018223210540218433,AP_Breast_Omentum.csv
0.053802784362688136,0.00043011677803036114,0.2581223903749316,0.40647089332904,0.0024006748244711,0.12744177105969612,0.011781965343717345,phpGUrE90.csv
0.001665627764147035,0.0008223337760875463,0.3170390790465892,0.11926204057519682,0.015282263154758297,0.2466958218986139,0.07054329843142143,dataset_187_abalone.csv
0.02046366337565203,0.002606900883755963,0.10109707588651183,0.2561162373686172,0.009345954364744431,0.1829888064250293,0.03278403908673181,dataset_31_credit-g.csv
0.004317995602581485,0.0002089722791829451,0.6476713535959444,0.07504978217801295,0.0027890951051575768,0.1310512465370428,0.005949995621268059,phpNevWWL.csv
0.055682464627737335,0.000953328801659834,0.13503641068374267,0.5472511481740654,0.005154750550446608,0.05488586301026785,0.02253856029042308,phpAmSP4g.csv
0.03036621521821585,0.000353982739253619,0.21200500989922044,0.5697872805549401,0.00518819216576797,0.05141667487471475,0.0181687270301812,kc1.csv
0.05452765423711975,0.0031285248536721305,0.16410566262800266,0.3126017283350025,0.0051454101153014156,0.10247589477342184,0.015826014969283878,analcatdata_authorship.csv
0.016084982139944942,8.777653820693652e-05,0.7158578603745975,0.11012139541114807,0.0014576672880083393,0.08405954708158095,0.004619871305771758,php5OMDBD.csv
0.02971317176005296,0.00011806967614079462,0.4614696551012018,0.3435198904519785,0.002312096771945865,0.07087488848629148,0.010840854732732769,pc4.csv
0.106091156365978,0.00010169936799185409,0.028370112356155237,0.7809455355063403,0.002895778566315261,0.020222264823819117,0.00984246859116735,phpd8EoD9.csv
0.00040087175342941393,0.00044271367854635215,0.7017377903711047,0.01735962912823161,0.005212199686115467,0.1536091197707072,0.013391712575743371,phpgNaXZe.csv
0.0010959501600886646,4.819971594044487e-05,0.8055451933562268,0.05879913567519857,0.001362606615093686,0.08381043805297178,0.004658448883264811,dataset_37_diabetes.csv
0.06909764570840185,0.00019716089198788017,0.005699993333441275,0.7376301959170006,0.0009321855490128447,0.016344531936927118,0.004313494360417295,phpSF8oeR.csv
0.14492337808943578,0.0006364249938404902,0.012099053630379428,0.5304666431823536,0.01717910221617234,0.03494118115696357,0.0415502217229904,dataset_40_sonar.csv
0.016518183269752525,7.166868715904323e-05,0.7585089096439817,0.12918475625283032,0.0013683278973989925,0.039037949899821116,0.0049040696909892255,fri_c2_1000_10.csv
0.021184247245922057,0.0007713525173183933,0.03321781030835512,0.4732945683114738,0.011399637293037506,0.1056321260186824,0.047474063671113086,phpvz1IQW.csv
0.0204795800545562,0.00015616565108202257,0.12003269599483175,0.5619804473643707,0.0014108496463897282,0.14767696848583833,0.007130100243154171,arsenic-male-bladder.csv
0.0011683884686007765,5.2219374529426396e-05,0.8411478433456892,0.035185702679773265,0.001414939846330769,0.07357945221530232,0.0032023187196679307,phpfKh1CO.csv
0.059123805762950635,0.0007622826827574652,0.3819790889462805,0.3899297207902519,0.001448114672265847,0.08056760088759958,0.003230424375901209,vowel.csv
0.004999409787204919,0.00211506497870014,0.16218544431562204,0.11941134838557207,0.014460218294004044,0.16405607679091305,0.05795495427152093,profb.csv
