,AB_max,ET_max,RF_max,GB_max,DT_max,SVM_max
0,0.7396895659999999,0.725358209,0.7291632931730759,0.7386185000000001,0.7129514884177092,0.69845591399186
1,0.956144376,0.954838271,0.953254979153951,0.9563362,0.921329113976764,0.9536242
2,1.0,1.0,1.0,1.0,0.99826389755334,1.0
3,0.983333333,0.983333333,1.0,1.0,0.97,0.9116667
4,0.967753461,0.949953484,0.940335807319732,0.9600804,0.8465152370987611,0.9072675
5,0.963214712,0.955668392,0.949931240303544,0.9613866,0.880690925296943,0.650445527121453
6,0.8065979959999999,0.840342555,0.818463600568712,0.8376688,0.6972844485076191,0.7051706999999999
7,0.99992163,1.0,1.0,1.0,1.0,0.9961815
8,0.8557692309999999,0.8711538459999999,0.875,0.8580769,0.8011538461538459,0.5642308000000001
9,0.999764965,0.999634273,0.999163676242455,0.9995555395010608,0.995818370366222,0.926393
10,0.8965191840000001,0.898900625,0.8937886165369359,0.8992065999999999,0.830802359030153,0.8923072
11,0.685645123,0.6828473759999999,0.6984425282280641,0.7014294,0.7167855223324371,0.505910835987405
12,0.992857143,0.992857143,0.992857142857143,1.0,1.0,0.9833333
13,0.860081002,0.852862111,0.8581832848836459,0.8643723,0.824358485346072,0.8446836999999999
14,0.941145833,0.9546875,0.9484375,0.965625,0.9328125,0.9182292
15,0.83228022,0.80782967,0.856456043956044,0.8454212,0.8082417582417579,0.7151099
16,0.985714286,0.985714286,0.985714285714286,0.9857143,0.985714285714286,0.9693681
17,0.970756988,0.966358351,0.941233742811183,0.9709831,0.932254995951726,0.6859379
18,0.993268853,0.984784455,0.976464792964808,0.9854826,0.95655575620914,0.997654
19,0.989444444,0.985277778,0.983333333333333,0.985,0.9380555555555552,0.9825
20,0.9952,0.9925,0.9894,0.9942,0.9651,0.9991
21,0.985277778,0.982777778,0.9808333333333342,0.9794444,0.9038888888888892,0.9872222
22,0.916944444,0.9175,0.919166666666667,0.9138889,0.868055555555556,0.9086111
23,0.8894444440000001,0.886388889,0.8811111111111108,0.8880556000000001,0.828055555555556,0.8955556
24,0.95,0.9125,0.9375,0.975,0.8875,0.8375
25,0.846904762,0.836507937,0.833333333333333,0.8495238000000002,0.8292063492063491,0.8177778
26,0.787053571,0.7375,0.781830357142857,0.7783929,0.7216517857142858,0.7573214285714291
27,0.971666667,0.951666667,0.951666666666667,0.9633333,0.86,0.8966666666666671
28,0.7515151520000001,0.723268398,0.733051948051948,0.7490043000000001,0.7597619047619051,0.7278139
29,0.920232843,0.8825857840000001,0.8893504901960779,0.8933885,0.8914767156862741,0.8540440999999999
30,0.693647562,0.724002011,0.731821266968326,0.725176,0.7040321769733531,0.6503557
31,0.7499687890000001,0.705265293,0.740265293383271,0.7613514,0.735530586766542,0.6286049
32,0.988536356,0.987220061,0.983004003719248,0.9833241,0.96743239500716,0.8570517
33,0.971794872,0.953342491,0.950961538461539,0.9688187,0.929624542124542,0.8709707
34,0.96025641,0.972115385,0.9644230769230768,0.9685897,0.943910256410256,0.8769231
35,0.661453081,0.669268207,0.6717156862745101,0.663834,0.6672023809523809,0.5266597
36,1.0,1.0,1.0,1.0,1.0,1.0
37,0.82326066,0.785577216,0.8091580956402551,0.8118137,0.8008709687689559,0.8008706999999999
38,0.656015071,0.6042882470000001,0.6283744934143871,0.6462011999999999,0.6503463779128671,0.6328514000000001
39,0.888090377,0.855505457,0.851104439399482,0.8781699000000001,0.7852681853998299,0.9049754
40,0.990833333,0.9875,0.987222222222222,0.9880556,0.935555555555556,0.8886110999999999
41,0.621901757,0.628303055,0.626699312336934,0.624176658252584,0.6137763306026751,0.6158908000000001
42,0.64442623,0.6104644810000001,0.602991803278689,0.6221448,0.577568306010929,0.7319126
43,1.0,1.0,1.0,1.0,1.0,0.9990436
44,0.894862058,0.890916017,0.8880976839115999,0.8953605,0.851245743601055,0.8599005
45,1.0,1.0,1.0,1.0,1.0,0.9992537
46,0.938051699,0.934581275,0.93943028816017,0.9382307,0.936556773372505,0.9314261
47,1.0,1.0,1.0,1.0,1.0,0.9994888
48,0.993686869,0.990909091,0.9888888888888892,0.9936869,0.981313131313131,0.9825758
49,0.920992162,0.903831585,0.923931195844806,0.9224487,0.9041171076205908,0.9337654
50,0.993670901,0.992583474,0.991006333194516,0.992486,0.950366545492344,0.9916896
51,0.905268574,0.899568129,0.892313732262315,0.8895341999999998,0.852374599282869,0.8710072
52,0.920833333,0.929166667,0.933333333333333,0.9041667,0.904166666666667,0.7916667
53,0.993939394,0.991161616,0.989393939393939,0.9936869,0.9808080808080808,0.9830808
54,0.7814555459999999,0.7634365740000001,0.770966415044293,0.7807808,0.7598336753025781,0.7438117
55,0.900165242,0.8750470490000001,0.8739608282532271,0.9039802,0.85603708724658,0.8963333
56,0.6959523809999999,0.6840476190000001,0.6926190476190479,0.7092857,0.668095238095238,0.64
57,0.980227273,0.968210678,0.9653968253968248,0.9774892,0.949195526695527,0.9606818
58,0.8292929290000001,0.834848485,0.829292929292929,0.806818181818182,0.727020202020202,0.8643939
59,0.877721086,0.890278694,0.8780443952815391,0.89049,0.8616457055336851,0.8104332
60,0.985440583,0.985568915,0.98260822576114,0.985202281719016,0.937905686949892,0.9888923
61,0.974330449,0.973560433,0.970507909658006,0.9749818,0.967755971998845,0.9584389
62,1.0,0.999125236,0.999073795343753,1.0,0.995112251188543,1.0
63,0.679531593,0.663405417,0.65045055214438,0.6858267,0.664936766248576,0.6800271999999999
64,0.953550584,0.953356791,0.9494566208657592,0.9539366,0.9291631201361872,0.9123776
