,datasets,RF_mean,RF_max,RF_min,RF_std,GB_mean,GB_max,GB_min,GB_std,DT_mean,DT_max,DT_min,DT_std,SVM_mean,SVM_max,SVM_min,SVM_std,ET_mean,ET_max,ET_min,ET_std,AB_mean,AB_max,AB_min,AB_std
0,phpkIxskf.csv,0.7026248040220181,0.7291632931730759,0.5770547505775521,0.02883969541361603,0.7129631409999997,0.7386185000000001,0.5115362,0.02660679069812077,0.6954886253711535,0.7129514884177092,0.635833382269034,0.013048873839679854,0.5425754849746665,0.69845591399186,0.501448207550325,0.03356518117333621,0.6658593145339998,0.725358209,0.571867043,0.04174452492559052,0.6969646709159993,0.7396895659999999,0.5,0.028549047811101118
1,dataset_186_satimage.csv,0.9405346972123667,0.953254979153951,0.9241392761043009,0.00527748428157187,0.9344345268000002,0.9563362,0.597729,0.039311043964731285,0.9119259915945669,0.9213291139767641,0.9008950733009821,0.0032110688627393193,0.6934926775999997,0.9536242,0.5688936,0.09425066601239177,0.937734701338,0.954838271,0.917792933,0.0064772632031315355,0.91934819138,0.9561443759999999,0.6757389229999999,0.04042878324197319
2,phpGReJjU.csv,0.9984760710878594,1.0,0.992149186128241,0.001778680430649589,0.7485949643229651,1.0,0.505051757490646,0.2169175681272165,0.9388355098182013,0.9982638975533399,0.838600996993737,0.04122770690351929,0.7593000805999983,1.0,0.5234498,0.23411495311451036,0.9999645476899999,1.0,0.999724211,5.258305773378396e-05,0.9388296660820004,1.0,0.489894138,0.13181451958305704
3,leukemia.csv,0.9083883333333327,1.0,0.7325,0.0545692074813591,0.939793331400001,1.0,0.8216667,0.028799435904906148,0.8449966666666674,0.97,0.679166666666667,0.038094467799851324,0.6679933347999999,0.9116666999999999,0.5,0.16370312422554575,0.9410883333000001,0.9833333329999999,0.5,0.0520723425914652,0.819608333334001,0.9833333329999999,0.7025,0.0507141241200005
4,phplE7q6h.csv,0.9019977051581539,0.940335807319732,0.8405130735573679,0.017234409818012802,0.8967684566000006,0.9600804000000001,0.5596679,0.0718721739416931,0.8064240845677403,0.8465152370987611,0.7236045860740531,0.022850579033393797,0.6772488570000003,0.9072674999999999,0.4711782,0.17839352646592274,0.6342188410899999,0.949953484,0.5,0.14200847253758087,0.8901854816819994,0.9677534609999999,0.680904576,0.07583927486249843
5,gina_agnostic.csv,0.92758280057157,0.9499312403035441,0.890051186817008,0.01025070262606259,0.9320860608000001,0.9613866,0.8320382,0.027551662188126536,0.8656814081499526,0.880690925296943,0.8438167819773,0.006675703856592863,0.5805786539073636,0.650445527121453,0.5,0.0687071075359411,0.9316340359920002,0.955668392,0.9093061029999999,0.01040333850587193,0.9174537566199998,0.9632147120000001,0.745510563,0.03606683897930981
6,eye_movements.csv,0.7542785049985469,0.818463600568712,0.6960483153774201,0.02172504937301009,0.7723388139999995,0.8376688,0.6226696999999999,0.04797504815515022,0.6668356784380318,0.6972844485076191,0.607507931969473,0.016553222423635345,0.5556011399999999,0.7051706999999999,0.5145837000000001,0.02886936574949085,0.7421164556520001,0.840342555,0.599831685,0.04149803030696778,0.7152907123240009,0.8065979959999999,0.626098397,0.03680316920153121
7,aaaData_for_UCI_named.csv,0.9997881440620686,1.0,0.9996453870001211,6.458706252481399e-05,0.9997808053999941,1.0,0.9993690999999999,6.856187345621028e-05,0.983006656679194,1.0,0.844621919326625,0.03245466458584373,0.7018984753999999,0.9961815,0.5,0.17172347481025915,0.9801484257020004,1.0,0.762352569,0.04203538381593102,0.9997869355339976,0.99992163,0.9995670170000001,5.815430420544165e-05
8,phpfLuQE4.csv,0.8365792307692307,0.875,0.7638461538461541,0.01730584562712159,0.7613646156000006,0.8580769,0.58,0.06724878954621462,0.7459915384615389,0.8011538461538459,0.648461538461538,0.028479676859951654,0.5125461542,0.5642308000000001,0.4992308,0.01284123048660299,0.8050930769499998,0.8711538459999999,0.667692308,0.04332185440817034,0.654666153862001,0.8557692309999999,0.5373076920000001,0.08217274207081345
9,avila-tr.csv,0.9833029803621389,0.999163676242455,0.889222697706866,0.023750526117036628,0.7407855769651432,0.9995555395010608,0.468245742083202,0.21058712761564302,0.9368387414146987,0.9958183703662221,0.814026360375227,0.04862688605744218,0.7491389145999997,0.926393,0.6153014,0.12418269009360243,0.8997334839860004,0.999634273,0.6786144009999999,0.1178213168474875,0.9029585934300002,0.999764965,0.604559771,0.10233708469063155
10,dataset_60_waveform-5000.csv,0.8782573216545645,0.8937886165369359,0.8399505901728791,0.009817363806055985,0.8895779837999997,0.8992065999999999,0.8627534,0.003792155306875033,0.8128382534087384,0.830802359030153,0.7739364665968621,0.009900906235156236,0.6526258246000003,0.8923072,0.5038002,0.14096135331955637,0.8920692159999998,0.898900625,0.882095135,0.0025326675481999283,0.878735133456001,0.8965191840000001,0.8313822809999999,0.010145537416985175
11,phpmPOD5A.csv,0.563217498549216,0.6984425282280641,0.5,0.04939539458338247,0.5990936243999995,0.7014294,0.5,0.06198085359038766,0.603057842352774,0.7167855223324371,0.516004780387488,0.04772538208058767,0.4941997818157088,0.505910835987405,0.486881638215473,0.004411321506833568,0.5180607629079998,0.6828473759999999,0.499967606,0.03808704068969884,0.5953757940919998,0.685645123,0.49996761700000003,0.0625058639470241
