bootstrap,criterion,max_features,min_samples_leaf,min_samples_split,"('max_features', 'min_samples_leaf')","('bootstrap', 'max_features')",dataset
0.18311000951272705,0.02247297245792069,0.011592852130750958,0.6596995359392865,0.0014330947690937561,0.010084419043974023,0.003583595935040592,phphQEck0.csv
0.04721409983939292,0.019675486577272833,0.4435310571163136,0.025340804342848997,0.0043361917520143185,0.09692753954558173,0.13504764202944808,phpkIxskf.csv
0.039319913488419116,0.0008161781435819562,0.16667362702163796,0.6219757688000833,0.005154425223179315,0.033150014579437004,0.04896401707106608,dataset_186_satimage.csv
0.13764238848822458,0.17022735944196365,0.3086280499531323,0.07746645422030933,0.0007064916502267935,0.036323079651059006,0.054754289876462865,phpGReJjU.csv
0.426357218117182,0.00021778943604099568,0.2564187148334673,0.005245407632247874,0.0031662698919249963,0.021217757491460768,0.16096380126439547,leukemia.csv
0.13589772256315258,0.0003448517623476293,0.2626512063830221,0.2800505772926851,0.004909373049954646,0.07211721025893036,0.0796138085901435,dataset_183_adult.csv
0.06219500591686206,0.010836895294337704,0.14070706416544335,0.6226067442546708,0.0040827510360141395,0.03051673045810155,0.03611369871501044,phplE7q6h.csv
0.04314399214069563,0.051146266894743365,0.3851825713864083,0.17541930059737565,0.001543843416455251,0.0310729795041116,0.18432707750545985,gina_agnostic.csv
0.20175963200675048,0.00011120947921961948,0.07692318423133611,0.5808803415111907,0.0034778167960898896,0.01952349418003078,0.04477370432453718,eye_movements.csv
0.01023483144140637,0.003213519022886627,0.09492227762405182,0.0317648647283345,0.026194636133231426,0.10745927508469212,0.043087198965489584,aaaData_for_UCI_named.csv
0.16633265821050336,0.001543703502338342,0.36326603462332696,0.047413563270964736,0.0033966476102939647,0.02163078869083121,0.2899033383163583,phpfLuQE4.csv
0.013968202088965438,0.012057823453303569,0.7831319847429473,0.07741151612346331,0.0007473070577725786,0.053590339053965416,0.006560356525742122,avila-tr.csv
0.17086406330107756,0.00029683062586228847,0.5650605554986796,0.011324784555570636,0.0011519030380117215,0.012519626428590976,0.17856987236043992,dataset_60_waveform-5000.csv
0.11626288102471433,0.0005498827890145682,0.15871777313556132,0.6044078676890672,0.0038588473877798272,0.029135273990300845,0.0105261629765516,phpmPOD5A.csv
0.05199184748905788,0.0022496562321735526,0.08509059278763477,0.02712150532168429,0.02542468349245491,0.09366022552656916,0.07951999682928737,AP_Endometrium_Prostate.csv
0.07453047109787422,0.0019079186153874207,0.5519737474442628,0.2922123266599609,0.0016210790278665028,0.022188584239630355,0.005210682829715622,electricity-normalized.csv
0.0013147368211263127,0.003401942385171948,0.12143253677808755,0.6304775960520141,0.0031541795985715487,0.06283836103767912,0.04766782355800059,MagicTelescope.csv
0.06235180645728335,0.0010284591490801946,0.5349136885076966,0.3317674845274,0.0011998312297951356,0.014243635433867757,0.011228875283887009,php3CTpvq.csv
0.003246521640916413,0.03186796548023064,0.13462404347806875,0.7062527256651334,0.0009913063710700089,0.045465630041106736,0.0021575102357803662,phpmcGu2X.csv
0.06338236782508708,0.015061742141452103,0.3204150357129077,0.014642658351169825,0.006366455016870702,0.03875600519764536,0.25200085382217163,AP_Endometrium_Uterus.csv
0.35229856081277955,0.0009448697627222484,0.2500732236022073,0.018415005974082733,0.006477471878613473,0.030761060039643507,0.11136017096178567,AP_Prostate_Lung.csv
0.02899242385251025,0.4601183108056732,0.37340004710719055,0.021527363711328514,0.0008267564509249162,0.008901306992442848,0.03122687967636385,phpuZu33P.csv
0.03543640334373085,0.0021325488266806573,0.30482477149274256,0.4946696251615186,0.0018516669754175237,0.0694211833058199,0.01520879837056574,connect-4.csv
0.04824883031389514,0.08311610986553689,0.1481332031831843,0.5149395470993119,0.004449037932335115,0.038540455906294666,0.02519406788711056,kdd_JapaneseVowels.csv
0.05568009553626575,0.06519629315956528,0.4441898173687312,0.16784639232039122,0.0011649779371280936,0.02979417888694406,0.13401897834454451,dataset_12_mfeat-factors.csv
0.012964279198632205,0.0205901432943065,0.3105652822255254,0.4713885234262703,0.001871297632065098,0.04203044147812141,0.04436392371830983,phpBDgUyY.csv
0.006304343493567635,0.00010545948113022554,0.6583379229434774,0.20063340839556051,0.0010508214282675832,0.0349546759191694,0.0510773237649914,dataset_16_mfeat-karhunen.csv
0.022090238165940475,0.0793334595276177,0.444816245569634,0.24643890663587115,0.0026180713509017144,0.039830708056752734,0.028233515143387712,dataset_14_mfeat-fourier.csv
0.003243872205498875,0.0004274341490043127,0.4108250925250756,0.3552879705791059,0.004564650950569209,0.03548083041683996,0.07016667230035123,dataset_22_mfeat-zernike.csv
0.02172842287442662,0.0001697369580098433,0.003670073167212703,0.8001575146676432,0.00223505732251058,0.01532726843034297,0.00305869800890117,phpSF8oeR.csv
0.004227199264489452,0.016442469661010446,0.06977631472579045,0.34859385940613685,0.008967562121532494,0.0906886211204204,0.06227130112821407,php5J5AK6.csv
0.06865733622788624,0.0007217291932647055,0.022022141191617498,0.5119844122815367,0.014625835496645513,0.051307703968060725,0.016640217514225442,dataset_48_tae.csv
0.20135295869632705,0.0005631050225824076,0.3961538722979233,0.045635438460913114,0.0045182243024780595,0.04080799374122045,0.12524115169617572,dataset_106_molecular-biology_promoters.csv
0.0019862262953876763,0.003840370985309094,0.08626809617257948,0.31495767277469,0.01188638260430163,0.15297896145018253,0.03172589183445903,phpXxoe1Q.csv
0.0031176051276445237,0.00026900711573338857,0.009927870757669904,0.8340499065194851,0.001979205263070798,0.026465731046509275,0.005881620609547817,phpRql5hp.csv
0.005099365191727327,0.005970159468508974,0.10043716502105893,0.17576427876315687,0.013232613972956234,0.09996749811523152,0.05594351624672875,phpnYQXoc.csv
0.08903201435894033,0.0033054694753416967,0.18862267621796755,0.2334085814721653,0.00828983519611716,0.08863789261272344,0.040995208866234784,phpgEDZOc.csv
0.07081941512725458,0.0008435324426742472,0.13634465636160414,0.6958314921068318,0.006100768781171774,0.022662754643525927,0.004734007066155857,dataset_188_kropt.csv
0.0382885565785075,0.043266762099147496,0.1691700353847129,0.3849568077152543,0.0031532549323573106,0.054213378891528434,0.0824632600672257,php1PI19i.csv
0.39127758027123705,0.004554892725796426,0.18251827413416494,0.014357540614003694,0.011097476303076744,0.03325435735503103,0.09301159374392524,AP_Endometrium_Lung.csv
0.05906511179541761,0.002043339270953117,0.30123281463084217,0.0217006654382577,0.005958394840715189,0.10326681114180497,0.17261580796481826,AP_Lung_Uterus.csv
0.012926866643903162,0.016625562412863556,0.02903046876802456,0.5113334273984917,0.0059957767825380365,0.05775919180323514,0.01124006955240808,hiva_agnostic.csv
0.004219556630969753,0.004450648593439748,0.5391559878278191,0.028765628261495545,0.003056345756051319,0.18768361528747768,0.04814348109976083,php9HX2u8(2).csv
0.041427031923240314,0.00046776212451467227,0.2818096077422613,0.4812331748200835,0.004061484521613665,0.04938919743326235,0.022292755160165115,phpn1jVwe.csv
0.232211864121857,0.0010495251989116696,0.2420118831900769,0.02594303694377631,0.006543678352845779,0.059797050435021815,0.168410924051123,pc3.csv
0.007896593294057756,0.0022725984176655105,0.2219670038797891,0.5247074422538884,0.006336142438393857,0.05093948353550938,0.047160475896765766,kin8nm.csv
